37 hd000358 B8IVpMnHg
115 hd001976 B5IV
129 hd002884 B9V
39 hd003369 B5V
157 hd004142 B5V
25 hd004727 B5V+F8V
69 hd006811 B7Ve
48 hd010390 B9IV-V
30 hd010982 B9.5V
128 hd013294 B9V
210 hd013709 B9V
214 hd014228 B8V-IV
117 hd014951 B7IV
180 hd015130 B9.5Vn
10 hd015371 B5IV
83 hd016978 B9V
180 hd017036 B9Vn
9 hd017081 B7V
56 hd017543 B6V
175 hd017573 B8Vn
125 hd017769 B7V
78 hd018537 B7V
277 hd018552 B8Vne
45 hd019356 B8V
211 hd020315 B8V
121 hd020319 B9V
155 hd020809 B5V
268 hd021362 B6Vn
286 hd021551 B8V
64 hd021790 B9V
205 hd022192 B5Ve
261 hd022780 B7Vne
239 hd023016 B9Vne
164 hd023227 B5IV
178 hd023324 B8V
93 hd023338 B6IV
296 hd023383 B9Vnn
210 hd023480 B6IVe
183 hd023552 B8Vne
246 hd023862 B8Vpe
111 hd024072 B9V
107 hd024388 B8V
61 hd024479 B9.5V
178 hd024504 B6V
41 hd024626 B6V
26 hd025267 B6V+B9.5V
75 hd025340 B5V
220 hd026356 B5V
257 hd026670 B5Vn
207 hd026676 B8Vn
22 hd027295 B9IV
15 hd027376 B9V
173 hd027742 B8IV-V
117 hd028149 B7V
277 hd028459 B9.5Vn
229 hd028867 B9IVn
75 hd029335 B7V
239 hd029866 B8IVne
153 hd031331 B5V
279 hd032309 B9.5Vn
123 hd034310 B9V
282 hd034863 B7IVnn
211 hd034959 B5Vp
196 hd035640 B9.5Vn
137 hd036267 B5V
60 hd037098 B9IV-V
180 hd037795 B7IVe
25 hd038899 B9IV
10 hd039844 B6V
215 hd042545 B5Vn
226 hd043445 B9Vn
249 hd046487 B5Vn
198 hd047054 B8V
225 hd049319 B6Vnne
117 hd049591 B9IV
162 hd050123 B6Vnpe
197 hd058715 B8Ve
27 hd059635 B5Vp
92 hd061429 B8IV
34 hd062226 B5V
18 hd068520 B6IV
290 hd074196 B7Vn
63 hd076805 B5V
79 hd079469 B9.5V
136 hd083754 B5V
252 hd083953 B6Ve
95 hd086360 B9IV
221 hd087543 B7IVne
247 hd087901 B7V
48 hd090264 B8V
81 hd090994 B6V
223 hd091120 B9Vn
269 hd098718 B5Vn
128 hd100673 B9Ve
160 hd100889 B9.5Vn
108 hd101431 B9V
233 hd104174 B9Vn
234 hd106911 B5Vn
193 hd107348 B8Vne
151 hd109026 B5V
204 hd109857 B8Vne
179 hd110335 B6IVe
174 hd112091 B5Vne
127 hd113797 B9V
271 hd118991 B8Vn
126 hd127971 B7V
168 hd128345 B5V
68 hd132742 B9.5V
159 hd133242 B5V
136 hd134481 B9.5Vne
284 hd138749 B6Vnne
112 hd140008 B5V
110 hd140436 B9IV+A3V
9 hd141556 B9IV
100 hd142990 B5IV
81 hd143699 B6IV
172 hd145483 B9V
97 hd145842 B8V
79 hd146001 B7IV
100 hd147152 B6IV
115 hd147628 B8IV
278 hd149485 B7Vn
215 hd149630 B9V
93 hd152614 B8V
129 hd153613 B8V
77 hd156247 B5Vnn+B5V
286 hd157741 B9V
167 hd158643 B9.5Ve
44 hd162374 B6V
121 hd163955 B9V
128 hd166014 B9.5V
144 hd169033 B8IV-Ve
65 hd174632 B8V
17 hd175362 B8IVSi
24 hd176162 B5IV
154 hd177756 B9Vn
219 hd178475 B6IV
19 hd181558 B5V
57 hd181869 B8V
245 hd185037 B8Vne
64 hd185915 B6IV
96 hd186500 B8V
141 hd186882 B9.5IV+F1V
304 hd187235 B8Vn
105 hd188665 B5V
38 hd188892 B5IV
151 hd189395 B9Vn
271 hd196740 B5IV
111 hd196867 B9IV
102 hd198183 B5Ve
146 hd199081 B5V
275 hd199218 B8Vnne
99 hd199955 B5Vn
93 hd201908 B8Vn
34 hd202753 B5V
66 hd203245 B6V
172 hd204770 B7V
14 hd206540 B5IV
264 hd209014 B8V
185 hd209409 B7IVe
192 hd209952 B7IV
106 hd210129 B7Vne
44 hd211924 B5IV
63 hd212120 B6V
194 hd212581 B9.5V
134 hd214923 B8V
14 hd215573 B6IV
82 hd217891 B6Ve
107 hd218045 B9V
200 hd219688 B5V
20 hd221507 B9.5IVpHgMnEu
51 hd222173 B8V
143 hd222439 B9IVn
129 hd222661 B9.5V
52 hd224112 B8V
63 hd224113 B6V
207 hd224686 B9IV
