O3-6.5  & 8 & 127 & 71--219 
O7-8.5  & 8 & 100 & 77--176 
O9      & 6 &  97 & 78--117 
O9.5    & 7 &  95 & 78--129 
O9.7    & 12 & 88 & 68--169 
B0      & 12 & 89 & 68--180 
B0.5    & 17 & 83 & 70--216 
B0.7$^*$&  6 & 80 & 64--132 
B1      & 26 & 82 & 54--245 
B1.5    &  6 & 75 & 68--81  
B2      & 10 & 74 & 60--100 
B2.5    &  4 & 70 & 61--73  
B3      &  9 & 68 & 46--81  
B4      &    &    &         
B5      &  6 & 47 & 28--57  
B6      &&&                 
B7
B8      &&&                 
B9      &&&                 
